,v_e,r_v_e,m_e,r_m_e,t_sigma,s_sigma
26,20.346924,0.0032007503,4453.753,3.670234,5,0.1
27,160.44745,0.031065106,4051.4873,2.7139125,5,0.1
28,227.24945,0.04582863,5270.1807,3.4523754,5,0.1
29,1568.5657,0.2559592,5468.927,3.671213,5,0.1
30,121.46838,0.021389896,4263.88,3.1396654,5,0.1
31,21.980225,0.003935153,2077.356,1.6440866,5,0.1
32,0.7512207,0.00013068545,1237.4312,0.9254495,5,0.1
33,3.7399902,0.0005491652,3122.8882,2.424782,5,0.1
34,0.54901123,9.8511104e-05,1407.9644,1.0974039,5,0.1
35,0.9217529,0.00013128907,2034.6855,1.5230695,5,0.1
36,58.03589,0.009358111,4405.001,3.009699,5,0.1
37,142.5741,0.025144303,3692.624,2.7306433,5,0.1
38,1.6488037,0.0002368089,4821.64,3.4774978,5,0.1
39,0.5397339,0.00010175806,2603.2764,1.9228891,5,0.1
40,0.49884033,8.5901265e-05,2434.9116,1.8784008,5,0.1
41,97.15527,0.015250903,8979.445,6.614368,5,0.1
42,179.57117,0.03012058,4328.414,3.220494,5,0.1
43,31.529053,0.0050708666,5658.173,3.978858,5,0.1
44,7.0915527,0.0009779696,9490.836,7.0626206,5,0.1
45,2.4458008,0.00031243684,6169.466,4.449312,5,0.1
46,0.29858398,4.8198286e-05,1944.7471,1.6049004,5,0.1
47,0.87438965,0.00013094144,1734.9294,1.3165224,5,0.1
48,21.713684,0.0039143176,2610.0078,1.9901177,5,0.1
49,0.8232422,0.00011908757,2792.9023,1.9917186,5,0.1
0,139.91418,0.023098312,7555.5127,5.1156354,5,1.0
1,8.666382,0.001081496,7438.201,4.8938518,5,1.0
2,23.459839,0.0037290005,6557.552,4.560913,5,1.0
3,8.855652,0.0016081919,2586.9958,1.8465813,5,1.0
4,121.703,0.023458647,3071.4512,2.20327,5,1.0
5,9.975586,0.0013919938,7461.82,4.919687,5,1.0
6,8.276794,0.0014298108,3293.0083,2.582131,5,1.0
7,4.399292,0.0007916625,2310.96,1.65059,5,1.0
8,135.98798,0.026595233,3245.7227,2.459585,5,1.0
9,6.546631,0.0010068489,6221.202,4.420117,5,1.0
10,16.22351,0.0030458479,3066.6445,2.2205648,5,1.0
11,2.8296509,0.0005127504,2561.2075,1.9725126,5,1.0
12,12.106445,0.0018380352,6463.6494,4.5465384,5,1.0
13,7.187256,0.0010919994,7059.5723,4.9127812,5,1.0
14,95.09607,0.01608415,3848.6233,2.7227736,5,1.0
15,2.6732178,0.00035881266,3757.4707,2.580951,5,1.0
16,2.01062,0.00026568843,4562.5654,3.079628,5,1.0
17,39.736694,0.005486078,10105.66,6.858812,5,1.0
18,149.72296,0.027730033,4049.9382,2.7794044,5,1.0
